Concept Index,Concept Name,Description,Human Label,Machine Label
1,privacy protection,the brightness of the window can be adjusted to protect the privacy when users use the toilet,No worries,toilet;glasses
2,internet connection,the virtual scenery can connect to internet to display more information which relevant users needs,Pursuit of augmented happiness,users;drivers
3,free standing device,free standing device can be adjusted for different car models,Multifunctional hardware,car;driver
4,toilet cleaning,the emergency toilet should be installed inside of the car with cleaning service and bad smell eliminating service,No worries,toilet;glasses
5,virtual chat ,people can chat with other divers by displaying the word on the window,Pursuit of augmented happiness,people;window
6,company shuttle,company shuttle can offer shuttles to reduce the traffic pressure,Progress of transportation,traffic;drivers
7,car play development ,user can use any apps by using siri,Pursuit of augmented happiness,car;driver
8,voice control toilet,user do not need use hand to open the toilet which can ensure the safety,Automation and future technology,toilet;glasses
9,find carpool partner ,user can use app to find people has same destination to sbare one car,Companionship,car;driver
10,brainstorming,the radio station can provide some puzzles to make diver keep awake after sleepy warner be activated,Enhance excitement,driver;cars
11,cleaning service for the toilet ,free automatic cleaning machine that can clearn the toilet for the customer ,No worries,toilet;glasses
12,shareable karaoke  amount different users,users can share their song with other users or sing together,Companionship,users;drivers
13,start moving alert for virtual scenery mode,the alert can remind driver if the car that in front of the user starts moving,No worries,car;driver
14,darker window for toilet use,the window will turn dark to keep users privacy when using the toilet,No worries,toilet;glasses
15,invisible or integrated toilet ,the toilet could be invisible if the toilet is not being used so its less embarrassing for the driver,No worries,driver;cars
16,self driving mode,the car can drive the tired user home safely,Automation and future technology,car;driver
17,pop up coupon information ,the driver can find great deals on the way home ,No worries,information;way
18,car pool sharing ,driver can choose to pick up another commuter who lives near by so they can ride on the carpool lane,Pursuit of augmented happiness,car;driver
19,autonomous coffee machine ,provide delicious coffee to driver whenever they need  ,Multifunctional hardware,driver;cars
20,massage seat,let the user feel relieved on the way home,Multifunctional hardware,users;drivers
21,freezer car,the car have refrigerator for storage food  ,Multifunctional hardware,car;driver
22,bus map,bus have a route guide for the travelers ,Progress of transportation,traffic;drivers
23,highway delivery,delivery service system that will delivery food to your car,Pursuit of augmented happiness,car;driver
24,substitute,call someone drive for your car to your hame in the traffic and you will pick up by their motorcycle,Companionship,car;driver
25,talking service,deliver someone to your car during the traffic when your call their service,Companionship,car;driver
26,create room ,creating an area totally block the people to see through in same condition,No worries,people;window
27,tv display,put a tv in the car for watch,Pursuit of augmented happiness,car;driver
28,wake up call,a call to wake the driver up by some load noise,Enhance excitement,car;driver
29,local share drive,network system for local people want to go to same place and come back about the same time ,Companionship,people;window
30,air change,temperature and smell change by the mood of the driver,Enhance excitement,driver;cars
31,closest restroom search engine,provide information of the most efficient way to the closest restroom,Companionship,information;way
32,audio virtual tour guide,give the driver an audio tour guide for the places that he has been to example paris,Pursuit of augmented happiness,driver;cars
33,mini fridge,help drivers to prepare for instant food while getting jammed in traffic,Multifunctional hardware,traffic;drivers
34,mini microwave oven baking machine,help drivers to prepare for instant food while getting jammed in traffic,Multifunctional hardware,traffic;drivers
35,faster railroad system,largely improve the speed and hardware specs of current bart system including speed density modernization,Progress of transportation,traffic;drivers
36,magnetic cup holder,using magnetic force to hold metal cups and glasses,Multifunctional hardware,toilet;glasses
37,water bottle opener,helps the driver to open up watter bottle therefore drivers always have at least one hand at the steering wheel,Multifunctional hardware,driver;cars
38,portable and easy to install massage,massages drivers legs and thighs and it will be a complement to the massage seat,Multifunctional hardware,users;drivers
39,business card exchanger,exchanges business cards of drivers who are jammed in traffic,Multifunctional hardware,traffic;drivers
40,laptop charger,using incar power to charge laptop so that drivers could play audio or video files from laptop to listen to,Multifunctional hardware,users;drivers
41,air awake,if the driver seems to be sleepy some fresh air a bit of water and other ingredients is sprayed roughly in the direction of the driver,No worries,driver;cars
42,seat awake,if the driver seems to be sleepy the seat vibrates,No worries,driver;cars
43,atmospherer,the windows are overlayed with smooth  subtle filters  effects such that the outside eg weather suits the mood of the driver eg a gray sky could be blued,Pursuit of augmented happiness,driver;cars
44,trainer,a virtual coach guides the driver through easy exercises that dont make the driver lose attention of the traffic,Enhance excitement,driver;cars
45,copilot,a smart assistant suggests driving strategies to make the driver feel relaxed,No worries,driver;cars
46,transit switch,a traffic assistant recognizes traffic jams and suggests public transit with according details if a change during the drive is faster,No worries,traffic;drivers
47,traffic manager,a system suggests all drivers a strategy eg lanes and velocity according to the road situation by that it minimizes the extra time caused by the traffic jam,No worries,traffic;drivers
48,autocoder,driver who work as computer scientists can work on their code by talking with an assistant,Multifunctional hardware,driver;cars
49,car spotter,if the driver sees a car he likes he can save its configuration and the system shows him rental possibilities,Enhance excitement,car;driver
50,stay in contact,per augmented reality the names of the people the driver has not contacted for a long time are displayed on the cars around him he is reminded and supported that he might want to call  get in contact with them again,Companionship,driver;cars
