index,Concept Name,Concpet Description,Human Label,Machine Label
1,real feel,the whole bike moves to mimic cycling over uneven surfaces in real life,but wait there's more ,bike;machine
2,bike generator,attach a generator to the bike machine and generate electircity when the user is cycling and the user can get paid for it ,but wait there's more ,bike;machine
3,game mode,allows the user to play an interactive game which requires them to exercise,arcade mode,users;user
4,water is life,have a water dispence built into the machine so the user doesnt need to go far away for water,but wait there's more ,machine;user
5,bring your bike to workout day ,instead of a exercise machine attach a real bike to the exercise machine and bike on a real bike a bike treadmill ,business spinoff,biking;bike
6,make me fast,change the handles of the bike to race bike handles to make the user feel powerful ,check out my ride,bike;machine
7,the whole experience ,allows the bike to lean foward and back and tilt left and right,check out my ride,bike;machine
8,class anytime,can play cycling class videos on demand to mimic actually participating in a class,check out my ride,bike;machine
9,voice control ,the machine can connect to amazon echo siri or any similar product and allow the users to use their voice to control the machine,hey siri ,users;user
10,p.o.d bike,bike machine combined with panoramic optical display to give users a immersive experience in exercising while playing,arcade mode,bike;machine
11,arcade bike,users can ride the bike like playing a arcade machine and compete with each other,arcade mode,bike;machine
12,challenging mode,the bike machine works like bikes in real life and in this mode the machine will simulate a real life cycling experience including cornering and straight line racing and let the users set their own records and challenge others ,arcade mode,bike;machine
13,personal reminder,a user might forget what he was going to do after the workout because hes tired user can set a reminder before the workout and the machine will remind the user after the workout,hey siri ,workout;user
14,encourgement eve,an encourgement from the inbuilt personal trainer eve once a user reaches a mini milestone or completes a workout ,hey siri ,workout;user
15,snack bar,have an energy bar dispenser ,but wait there's more ,snack;towels
16,towel hanger,have a desinated place to hold towels ,but wait there's more ,snack;towels
17,shared bike machine,bike machine rooms located at convenient places allow users to use it and pay per use all machine will be connected and upload users data to the cloud server so that users are able to be access to their own data easily ,business spinoff,users;user
18,smart exercise service ,a series of exercise machines including both cardio and weight training machines are connected together the system will create the workout plan based on users goal it allows users to use different machines to optimize the workout and collects data from all machines and finally it will provide a conprehensive analysis to the users ,business spinoff,users;user
19,bike park,have the exercise machine go around the gym on a set race track depending on speed of the user race with other users,business spinoff,users;user
20,workout statistics,shows the user their status midworkout,how fit am I ,workout;eg
21,workout feedback,,how fit am I ,workout;eg
22,show me food!,at the end of the workout show the calories equivalent of the current workout in terms of food eg a pint of icecream ,how fit am I ,workout;eg
23,workout more ,have small workout for different parts of the machine for example the bike brakes on the handle could be used as a grip trainer or the bike can be coupled with another trainning machine ,but wait there's more ,biking;bike
24,sounds,mimics real life noise rather than music,but wait there's more ,biking;bike
25,cupholder,lets user put their water bottle within reach,but wait there's more ,biking;bike
26,mountain biking,the bike machine simulate real condition when mountain biking,but wait there's more ,biking;bike
27,move with the beat,include music of the similiar speed in the optimal workout change music from users folder in different stages of the workout,personal trainer,workout;user
28,workout selection,allows user to choose a personalized workout based off of goals,personal trainer,workout;user
29,ride for rewards,users get simple rewards for sticking to the optimal workout plan ,business spinoff,workout;user
30,workout consultant,communicate and share the data with a personal trainer through the system to get more advices on their workout,business spinoff,workout;user
31,entertainment list,the machine provide a list of entertainment like music movie tv show and game it can also allow users to install app like netflix hulu to get access to their own subscription ,check out my ride,users;user
32,alert system,works with a users smartphone and home system to notify about important happenings,check out my ride,users;user
33,connect me ,using the users phone to identify user through wireless or bluetooth,check out my ride,users;user
34,smartphone connection ,unique users are identified by connecting with the users smartphone,check out my ride,users;user
35,handlebar sensor,detect users realtime physical condition accurately using a handle sensor,check out my ride,users;user
36,modular machine,allow customers to install the feature they want and it will be easy to repair the machines by simply replace the broken part hot swappingly ,check out my ride,users;user
37,fingerprint reader,unique users are identified by their unique fingerprint,check out my ride,users;user
38,auto seat adjustment ,whenever the users start to use the machine the physical and digital setting will be adjusted automatically,check out my ride,users;user
39,all users matter,have easy to adjust handles seats and display screen so users of different sizes can enjoy the machine to the full potential,check out my ride,users;user
40,heart rate arm band,paired with machine reads users heart rate more accurately,check out my ride,users;user
41,strength measurement,measures and records the maximum strength of the users various muscle groups for example grip strength,check out my ride,users;user
42,internet connectivity,would use either wfi or the users phone connection to allow them the same connectivity as a smartphone to browse the web read the news email etc,check out my ride,users;user
43,tv mode,lets user catch up on their favorite tv show while working out and picks a workout with the right length,check out my ride,workout;user
44,butler in a bike ,allow the user to answer the door or phone during the workout on the bike without interuptting the workout ,check out my ride,workout;user
45,moving hands,lets user keep their arms moving for maximum cardio output during a workout,check out my ride,workout;user
46,personalized plan,provide users their personalized plan everytime when they start to exercise ,personal trainer,users;user
47,music selector ,based on the users pace music is automatically selected and played to match that speed,personal trainer,users;user
48,goal selection ,different users have different goals in mind through a set of selections users can pick the one that matches his or her goal ,personal trainer,users;user
49,punishment system ,users can manually turn on the punishment and force themselve to keep cycling when they are tired and want to quit,personal trainer,users;user
50,smartphone dock,almost everyone has a smart phone nowadays it would be nice if there is a dock that can transfer user musicvideos and charge it at the same time during workout ,but wait there's more ,workout;user
51,video chat,users that are using different machines in the gym can have video chat when exercising ,but wait there's more ,users;user
52,wheelie,allow the user to perform a wheelie ,but wait there's more ,users;user
53,drop the beat,surround sound speaker to imitate biking noise in the real world,check out my ride,biking;bike
54,biking tour with friends,using vr or ar technique to simulate a biking tour and put friends in the same virtual world allowing them to ride together and chat ,arcade mode,biking;bike
55,weigh for me,the machine finds out directly how heavy is ther user so he or she doesnt have to do it while keying in the personal information,check out my ride,machine;user
56,tilted,tilt the whole machine for different experiences ,check out my ride,machine;user
57,competition mode,shows user the past workout stats for a friend and encourages them to try to beat their friend,arcade mode,workout;user
58,progress monitor,shows the user how their performance has changed over time based on their workout history,how fit am I ,workout;user
