Concept Index,Concept Name,Description,Human Label,Machine Label
1,mega long board,a very long surfboard type board which can fold multiple times,foldable,board;rental
2,box board,a skateboard also serving as a storage device,accessories ,board;rental
3,curved board,a curved skateboard to fit around ones backpack,accessories ,board;wheels
4,circular board,a board that rolls into a circle like  blet,foldable,board;rental
5,ball board,a hoverboard type board in the shape of a ball,electronic,board;rental
6,bike board,a board whos wheels extend to be like a bike,extend ,board;wheels
7,book board,make your large textbooks into a skateboard,modular,board
8,velcro board,a board that can be velcroed to your backpack,accessories ,board;rental
9,twistable board,a board that twists for easy fut,foldable,board;rental
10,flexible board,an extremely flexible rubber board,foldable,board;rental
11,skate shoes,attachments to shoes to make them a skaetboard heelies,accessories ,helmet;shoes
12,skatebackpack,make your skateboard a backpack,accessories ,backpack
13,foldable board,skateboard that folds horizontally,foldable,board;rental
14,telescoping board,board that telescopes,extend ,board;rental
15,modular board,board with a quick build time modular parts,modular,board
16,snow board skate board,board with snowboard and skateboard properties,unique,board;rental
17,roll in board,board that rolls in like a fruit roll up yoga mat,foldable,board;wheels
18,foldable scooter,a scooter that folds easily,electroinic,foldable scooter
19,inflatable skateboard,a board that you can pump up,unique,board;rental
20,board pants,an atachment to your pants to hold your board,accessories ,board;rental
21,spider board,skateboard with rails on the side from which extend out as the wheels,extend ,board;wheels
22,fold a board,skateboard with a hinge on it,foldable,board;rental
23,crank slider board,board that has linkage between two halves instead of hinge,foldable,board;wheels
24,stack a board,folds in 3 parts instead of 2 for extra compression wheels rotate to stoe easier,foldable,board;wheels
25,skelator board,webbed pattern board that folds into channels cut into frame,foldable,board;wheels
26,break 4 life,brake pannel raising from end of board that applies brake to back wheels,accessories ,board;wheels
27,grove board,board that hase tonge and grove pattern in center to split up into two seperate halves,Bikini Board,board;wheels
28,tri razor,board with hollow centeral cavity from whence comes wheels expand out,extend ,board;wheels
29,erecto board,board composed of multiple small parts held together by string that when pulled together are rigid,modular,board;wheels
30,rocket rod,pipe affixed between shoes with wheels on it,unique,wheels;folds
31,zip case,cloth case with zipper to slide board into in backpack laptop case like,accessories ,board;wheels
32,low rider,board with wheels to the side instead of underneath,unique,board;wheels
33,hover board,board with fans to provide hover instead of wheels,potential lawsuits,board;wheels
34,tensegrity ball bot,tesegrity robot composed of rods and springs with central hub to stand on with outer rods spinning so as to provide motion,unique,brake;wheel
35,expandable monowheel,circus like wheel with person inside that spins for locomotion,potential lawsuits,brake;wheel
36,acordian board,board that folds up like an accordian when stoed,foldable,board;rental
37,board back,board that attached to back underneath backpack,unique,board;rental
